genre
indie
indie rock
alternative
alternative rock
rock
soft rock
classic rock
modern rock
pop
pop rock
bedroom pop
dream pop
lofi
lofi hip hop
hip hop
rap
chill hop
r&b
neo soul
soul
funk
jazz
jazz fusion
electronic
electronic chill
house
deep house
techno
ambient
downtempo
folk
acoustic
singer songwriter
punk
post punk
shoegaze
metal
heavy metal
hard rock
emo
pop punk
